Sort Order,One Coventry Plan 2022-30 Vision,One Coventry Plan 2016-24 Vision,One Coventry Plan 2016-24 Priority,Council Plan 2016-24 Metric,Progress towards 2016-24 Plan,Target Status towards 2016-24 Plan,Council Plan 2022-30 Metric,Progress towards 2022-30 Plan,Target,Target Status towards 2022-30 Plan,Metric,Unit,2015/16 end of year metric value,2015/16 end of year metric scope,2015/16 end of year metric date,2016/17 half year metric value,2016/17 half year metric scope,2016/17 half year metric date,2016/17 end of year metric value,2016/17 end of year metric scope,2016/17 end of year metric date,2017/18 half year metric value,2017/18 half year metric scope,2017/18 half year metric date,2017/18 end of year metric value,2017/18 end of year metric scope,2017/18 end of year metric date,2018-19 end of year metric value,2018-19 end of year metric scope,2018-19 end of year metric date,2019-20 end of year metric value,2019-20 end of year metric scope,2019-20 end of year metric date,2020-21 end of year metric value,2020-21 end of year metric scope,2020-21 end of year metric date,2021-22 end of year metric value,2021-22 end of year metric scope,2021-22 end of year metric date,2022-23 end of year metric value,2022-23 end of year metric scope,2022-23 end of year metric date,2016/17 end of year metric comparator metric value,2016/17 end of year metric comparator metric scope,2016/17 end of year metric comparator metric date,2017/18 half year metric comparator metric value,2017/18 half year metric comparator metric scope,2017/18 half year metric comparator metric date,2017/18 end of year metric comparator metric value,2017/18 end of year comparator metric scope,2017/18 end of year metric comparator metric date,2018-19 end of year comparator metric value,2018-19 end of year comparator metric scope,2018-19 end of year comparator metric date,2019-20 end of year comparator metric value,2019-20 end of year comparator metric scope,2019-20 end of year comparator metric date,2020-21 end of year comparator metric value,2020-21 end of year comparator metric scope,2020-21 end of year comparator metric date,2021-22 end of year comparator metric value,2021-22 end of year comparator metric scope,2021-22 end of year comparator metric date,2022-23 end of year comparator metric value,2022-23 end of year comparator metric scope,2022-23 end of year comparator metric date,2016/17 end of year metric national metric value,2016/17 end of year metric national metric scope,2016/17 end of year metric national metric date,2017/18 half year metric national metric value,2017/18 half year metric national metric scope,2017/18 half year metric national metric date,2017/18 end of year metric national metric value,2017/18 end of year metric national metric scope,2017/18 end of year metric national metric date,2018-19 end of year national metric value,2018-19 end of year national metric scope,2018-19 end of year national metric date,2019-20 end of year national metric value,2019-20 end of year national metric scope,2019-20 end of year national metric date,2020-21 end of year national metric value,2020-21 end of year national metric scope,2020-21 end of year national metric date,2021-22 end of year national metric value,2021-22 end of year national metric scope,2021-22 end of year national metric date,2022-23 end of year national metric value,2022-23 end of year national metric scope,2022-23 end of year national metric date
85,,Locally committed,Improving educational outcomes,TRUE,,,FALSE,,Better than statistical neighbours,,Key stage 4: good pass (grades 9-5) in English and maths,%,,,,,,,,,,,,,36.2,Coventry,2017,37.5,Coventry ,2018,38,Coventry ,2019,44.8,Coventry ,2020,46.5,Coventry ,2021,,,,,,,,,,37.6,Statistical Neighbours,2017,38.6,Statistical Neighbours,2018,38.2,Statistical Neighbours,2019,44.4,Statistical Neighbours,2020,46.2,Statistical Neighbours,2021,,,,,,,,,,42.9,England,2017,43.5,England,2018,43.4,England,2019,49.9,England,2020,51.9,England,2021,,,
86,,Locally committed,Improving educational outcomes,TRUE,,,FALSE,,Better than statistical neighbours,,Key Stage 5 level 3 average point score A Level entry,average score,,,,,,,28.29,Coventry,"2016
",,,,28.95,Coventry,2017,29.81,Coventry ,2018,30.37,Coventry ,2019,36.75,Coventry ,2020,39,Coventry ,2021,,,,27.94,Statistical Neighbours,2016,,,,29.06,Statistical Neighbours,2017,30.21,Statistical Neighbours,2018,30.99,Statistical Neighbours,2019,36.86,Statistical Neighbours,2020,38.81,Statistical Neighbours,2021,,,,30.45,England,"2016
",,,,32.14,England,2017,32.12,England,2018,32.87,England,2019,39.51,England,2020,41.6,England,2021,,,
,,,,FALSE,,,FALSE,,,,Key Stage 5 level 3 average grade A Level entry,grade,,,,,,, C-,Coventry,"2016
",,,, C+,Coventry,2017,C,Coventry ,2018,C,Coventry ,2019,C+,Coventry ,2020,C+,Coventry ,2021,,,, C-,Statistical Neighbours,2016,,,, C-,Statistical Neighbours,2017,C,Statistical Neighbours,2018,C,Statistical Neighbours,2019,C+,Statistical Neighbours,2020,C+,Statistical Neighbours,2021,,,, C,England,"2016
",,,, C+,England,2017,C+,England,2018,C+,England,2019,B,England,2020,B,England,2021,,,
87,,Locally committed,Improving educational outcomes,TRUE,,,FALSE,,Better than statistical neighbours,,Key Stage 5 level 3 average point score per tech level entry,average score,,,,,,,28.63,Coventry,"2016
",,,,29.29,Coventry,2017,31.66,Coventry ,2018,31.94,Coventry ,2019,29.2,Coventry ,2020,27.94,Coventry ,2021,,,,30.82,Statistical Neighbours,2016,,,,32.35,Statistical Neighbours,2017,28.6,Statistical Neighbours,2018,27.65,Statistical Neighbours,2019,29.02,Statistical Neighbours,2020,31.37,Statistical Neighbours,2021,,,,30.77,England,"2016
",,,,32.25,England,2017,28.11,England,2018,28.64,England,2019,29.77,England,2020,31.76,England,2021,,,
,,,,FALSE,,,FALSE,,,,Key Stage 5 level 3 average grade per tech level entry,grade,,,,,,,Merit +,Coventry,"2016
",,,,Merit +,Coventry,2017,Distinction-,Coventry ,2018,Distinction,Coventry ,2019,Pass +,Coventry ,2020,Pass +,Coventry ,2021,,,,Distinction -,Statistical Neighbours,2016,,,,Distinction -,Statistical Neighbours,2017,Merit +,Statistical Neighbours,2018,Merit,Statistical Neighbours,2019,Merit,Statistical Neighbours,2020,Merit,Statistical Neighbours,2021,,,,Distinction -,England,"2016
",,,,Distinction -,England,2017,Merit +,England,2018,Merit,England,2019,Merit,England,2020,Merit,England,2021,,,
88,,Locally committed,Improving educational outcomes,TRUE,,,FALSE,,Better than statistical neighbours,,Key Stage 5 level 3 average point score per general applied entry,average score,,,,,,,35.08,Coventry,"2016
",,,,34.49,Coventry,2017,25.46,Coventry ,2018,26.33,Coventry ,2019,31.44,Coventry ,2020,33.07,Coventry ,2021,,,,34.41,Statistical Neighbours,2016,,,,36.27,Statistical Neighbours,2017,28.6,Statistical Neighbours,2018,27.15,Statistical Neighbours,2019,29.77,Statistical Neighbours,2020,32.09,Statistical Neighbours,2021,,,,34.67,England,"2016
",,,,35.69,England,2017,28.43,England,2018,28.91,England,2019,31.25,England,2020,32.82,England,2021,,,
,,,,FALSE,,,FALSE,,,,Key Stage 5 level 3 average grade per general applied entry,grade,,,,,,,Distinction,Coventry,"2016
",,,,Distinction,Coventry,2017,Merit,Coventry ,2018,Merit+,Coventry ,2019,Merit,Coventry ,2020,Merit,Coventry ,2021,,,,Distinction ,Statistical Neighbours,2016,,,,Distinction ,Statistical Neighbours,2017,Merit +,Statistical Neighbours,2018,Merit+,Statistical Neighbours,2019,Merit,Statistical Neighbours,2020,Merit,Statistical Neighbours,2021,,,,Distinction ,England,"2016
",,,,Distinction ,England,2017,Merit +,England,2018,Merit+,England,2019,Merit,England,2020,Merit,England,2021,,,
89,,Locally committed,Improve health and wellbeing,TRUE,,,FALSE,,To decrease,,Smoking status at time of delivery,%,12.3,Coventry,2015/16 ,,,,12.3,Coventry,2015/16,11,Coventry,Jan-March 2016/17,10.9,Coventry,2016/17,11.8,Coventry ,2017/18,10.6,Coventry ,2018/19,10.7,Coventry ,2019/20,9.9,Coventry ,2020/21,,,,11.9,West Midlands Region,2015/16 revised,,,,11.8,West Midlands Region,2016/17,11.9,West Midlands Region,2017/18,11.9,West Midlands Region,2018/19,12.1,West Midlands Region,2019/20,10.6,West Midlands Region,2020/21,,,,11,England,2015/16 revised,,,,10.7,England,2016/17,10.8,England,2017/18,10.6,England,2018/19,10.4,England,2019/20,9.6,England,2020/21,,,
90,,Locally committed,Improve health and wellbeing,TRUE,,,FALSE,,To increase,,Adults achieving 150 minutes of physical activity per week,%,,,,,,,,,,62.3,Coventry,2015/16 revised,59.3,Coventry,2016/17,60.6,Coventry ,2017/18,61.1,Coventry ,2018/19,61.9,Coventry ,2019/20,59,Coventry ,2020/21,,,,,,,63.8,West Midlands Region,2015/16 revised,62.6,West Midlands Region,2016/17,63.2,West Midlands Region,2017/18,64,West Midlands Region,2018/19,63.1,West Midlands Region,2019/20,63,West Midlands Region,2020/21,,,,,,,66.1,England,2015/16 revised,66,England,2016/17,66.3,England,2017/18,67.2,England,2018/19,66.4,England,2019/20,66,England,2020/21,,,
91,,Locally committed,Improve health and wellbeing,TRUE,,,FALSE,,To decrease,,"Hospital admissions caused by injuries in children 0-14 (rate per 10,000)","rate per 10,000",149.9,Coventry,2014/15,,,,173.2,Coventry,2015/16,,,,190.2,Coventry,2016/17,203.7,Coventry ,2017/18,184.9,Coventry ,2018/19,138.2,Coventry ,2019/20,93.3,Coventry ,2020/21,,,,110.4,West Midlands Region,2015/16,,,,106.7,West Midlands Region,2016/17,103.4,West Midlands Region,2017/18,108.8,West Midlands Region,2018/19,97,West Midlands Region,2019/20,77,West Midlands Region,2020/21,,,,104.2,England,2015/16,,,,101.5,England,2016-17,96.4,England,2017/18,96.1,England,2018/19,91.2,England,2019/20,75.7,England,2020/21,,,
,,,,FALSE,,,FALSE,,,,Hospital admissions caused by injuries in children 0-14 (number),number,944,Coventry,2014/15,,,,1112,Coventry,2015/16,,,,1248,Coventry,2016/17,1358,Coventry ,2017/18,1255,Coventry ,2018/19,945,Coventry ,2019/20,645,Coventry ,2020/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,Locally committed,Improve health and wellbeing,TRUE,,,FALSE,,None set,,Recorded cases of diabetes as recorded on GP practice (%),% of patients aged 17 years and over,6.5,Coventry,2014/15,,,,,,,6.7,Coventry,2015/16,6.7,Coventry,2016/17,6.7,Coventry ,2017/18,6.7,Coventry ,2018/19,6.8,Coventry ,2019/20,7,Coventry ,2020/21,,,,,,,7.5,West Midlands Region,2015/16,7.5,West Midlands Region,2016/17,7.7,West Midlands Region,2017/18,7.6,West Midlands Region,2018/19,8.1,West Midlands Region,2019/20,8,West Midlands Region,2020/21,,,,,,,6.5,England,2015/16,6.7,England,2016/17,6.8,England,2017/18,6.9,England,2018/19,7.1,England,2019/20,7.1,England,2020/21,,,
,,,,FALSE,,,FALSE,,,,Recorded cases of diabetes as recorded on GP practice (number),number,19351,Coventry,2014/15,,,,,,,20772,Coventry,2015/16,21296,Coventry,2016/17,27306,Coventry ,2017/18,28146,Coventry ,2018/19,29142,Coventry ,2019/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,Locally committed,Improve health and wellbeing,TRUE,,,FALSE,,To decrease,,HIV late diagnosis,%,51.6,Coventry,2013-15,,,,,,,,,,53.7,Coventry,2014-16 revised,54.9,Coventry ,2015-17,52.7,Coventry ,2016-18,54.1,Coventry ,2017-19,46.5,Coventry ,2018-2020,,,,,,,,,,44.1,West Midlands Region,2014-16,46.1,West Midlands Region,2015-17,46,West Midlands Region,2016-18,45.3,West Midlands Region,2017-19,45,West Midlands Region,2018-20,,,,,,,,,,40.1,England,2014-16,41.1,England,2015-17,42.5,England,2016-18,43.1,England,2017-19,42.4,England,2018-20,,,
94,,Locally committed,Improve health and wellbeing,TRUE,,,FALSE,,To decrease,,"Conceptions to girls aged under 18 (rate per 1,000 girls aged 15-17)","rate per 1,000 girls aged 15-17",33.8,Coventry,2014,,,,29.9,Coventry,2015,28.3,Coventry,Jul 2015-Jun 2016,26.6,Coventry,2016,26.1,Coventry ,2017,21.2,Coventry ,2018,25.8,Coventry ,2019,19.8,Coventry ,2020,,,,27.1,West Midlands Combined Authority,2015,,,,23.2,West Midlands Combined Authority,2016,22.4,West Midlands Combined Authority,2017,21.9,West Midlands Combined Authority,2018,21.1,West Midlands Combined Authority,01/09/2019,15.8,West Midlands Combined Authority,2020,,,,20.8,England,2015,,,,18.8,England,2016,17.8,England,2017,16.7,England,2018,15.9,England,01/09/2019,13,England,2020,,,
95,,Locally committed,Protecting our most vulnerable people,TRUE,,,FALSE,,Better than statistical neighbours,,Gap (in the good level of development at age 5) between the lowest achieving 20% and the rest,%,36,Coventry,2015,,,,35.1,Coventry,2016,,Coventry,2017 Provisional,37.3,Coventry,2017,37.4,Coventry ,2018,38.6,Coventry ,2019,,,,,,,,,,35.6,Statistical Neighbours,2016,,,,35,Statistical Neighbours,2017,35.24,Statistical Neighbours,2018,35.48,Statistical Neighbours,2019,,,,,,,,,,31.4,England,2016,,,,31.7,England,2017,31.8,England,2018,32.4,England,2019,,,,,,,,,
96,,Locally committed,Protecting our most vulnerable people,TRUE,,,FALSE,,None set,,Early help assessments closed with all actions complete,%,68.8,Coventry,2015/16,68.7,Coventry,Apr-Sep 2016/17,75.4,Coventry,2016/17 ,69.4,Coventry,Apr-Sep 2017/18,71.9,Coventry,01/03/2018,69,Coventry ,01/03/2019,72.8,Coventry ,01/03/2020 provisional,72.5,Coventry ,01/03/2021,68.9,Coventry ,March 2022 provisional ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,TRUE,,,FALSE,,None set,,Households accepted as statutory homeless (in priority need),"rate per 1,000 households",,,,,,,,,,,,,,,,,,,6.2,Coventry ,2019/20,5,Coventry ,2020/21,5.5,Coventry ,2021/22,,,,,,,,,,,,,,,,,West Midlands Region,2019/20,,,,,,,,,,,,,,,,,,,,,,1.3,England,2018/19,,,,,,,,,
98,,Locally committed,Protecting our most vulnerable people,TRUE,,,FALSE,,None set,,"Adult safeguarding S42 enquiries (rate per 100,000 population)","rate per 100,000 population",357,Coventry,2015/16,332,Coventry,Apr-Sep 2016/17,390,Coventry,2016/17 revised,102,Coventry,Apr-Sep 2017/18,259,Coventry,2017/18,228,Coventry ,2018/19 ,185,Coventry ,2019/20,165,Coventry ,2020/21 revised,292,Coventry ,2021/22 provisional,,,,290,West Midlands Region,2015/16,184,West Midlands Region,2016/17,,,,183,West Midlands Region,2017/18,223,West Midlands Region,2018/19,207,West Midlands Region,2019/20,207,West Midlands Region,2020/21,,,,239,England,2015/16,250,England,2016/17,,,,245,England,2017/18,326,England,2018/19,292,England,2019/20,292,England,2020/21,,,
,,,,FALSE,,,FALSE,,,,Adult safeguarding S42 enquiries (number),number,966,Coventry,2015/16,499,Coventry,Apr-Sep 2016/17,920,Coventry,2016/17 revised,281,Coventry,Apr-Sep 2017/18,717,Coventry,2017/18,655,Coventry ,2018/19 ,532,Coventry ,2019/20,493,Coventry ,2020/21 revised,872,Coventry ,2021/22 provisional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,Locally committed,Protecting our most vulnerable people,TRUE,,,FALSE,,Less than or equal to 4%,,Proportion of adult social care service users placed in regulated adult social care services rated as inadequate ,%,3,Coventry,31/03/2016,0,Coventry,30/09/2016,1,Coventry,31/03/2017,1,Coventry,01/09/2017,4,Coventry,31/03/2018,0,Coventry ,31/03/2019,4.2,Coventry ,31/03/2020,3.7,Coventry ,31/03/2021,4,Coventry ,31/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,Locally committed,Protecting our most vulnerable people,TRUE,,,FALSE,,None set,,Adults who contacted social care not previously receiving social care support (rate),"rate per 100,000 population",3440,Coventry,2015/16 revised,2484,Coventry,Apr-Sep 2016/17 excluding mental health data,3585,Coventry,2016/17 revised,1128,Coventry,Sept 2017 excluding mental health data,3722,Coventry,2017/18,3600,Coventry ,2018/19 revised,3611,Coventry ,2019/20 revised,3305,Coventry ,2020/21 revised,3790,Coventry ,2021/22,,,,5215,CIPFA Near Neighbours,2015/16,4525,CIPFA Near Neighbours,2016/17,,,,4870,CIPFA Near Neighbours,2017/18,5685,CIPFA Near Neighbours,2018/19,5003,CIPFA Near Neighbours,2019/20,4605,CIPFA Near Neighbours,2020/21,,,,4200,England,2015/16,4175,England,2016/17 revised,,,,4215,England,2017/18,4350,England,2018/19,4362,England,2019/20,4310,England,2020/21,,,
,,,,FALSE,,,FALSE,,,,Adults who contacted social care not previously receiving social care support (number),number,9296,Coventry,2015/16,3358 excluding mental health,Coventry,Apr-Sep 2016/17,9691,Coventry,2016/17 revised,3119,Coventry,Sept 2017 excluding mental health data,10290,Coventry,2017/18,10367,Coventry ,2018/19,10534,Coventry ,2019/20,9870,Coventry ,2020/21,11316,Coventry ,2021/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,Locally committed,Protecting our most vulnerable people,TRUE,,,FALSE,,To increase,,Proportion of adult social care service users who feel safe,%,70,Coventry,2015/16,,,,75,Coventry,2016/17 ,,,,72,Coventry,2017/18,70,Coventry ,2018/19,76.7,Coventry ,2019/20,,,,72,Coventry ,2021/22,,,,69,CIPFA Near Neighbours,2016/17,,,,,,,68,CIPFA Near Neighbours,2017/18,67.6,CIPFA Near Neighbours,2018/19,,,,68.9,CIPFA Near Neighbours,2019/20,,,,70,England,2016/17,,,,,,,70,England,2017/18,70,England,2018/19,,,,70.2,England,2019/20,,,
102,,Locally committed,Protecting our most vulnerable people,TRUE,,,FALSE,,To increase,,Breastfeeding rates at 6-8 weeks,%,NA,Coventry,2015/16 failed validation test,,,,43.7,Coventry,2012/13,,,,48.7,Coventry,2016/17,48.3,Coventry ,2017/18,0.48,Coventry ,2018/19 not validated,0.5,Coventry ,2019/20 not validated,,,,,,,,West Midlands Region,2016/17 failed validation test,,,,,,,,,,,,,,,,,,,,,,43.8,England,2014/15,43.2,England,2015/16,44.4,England,2016/17,42.7,England,2017/18,46.2,England,2018/19,48,England,2019/20,47.6,England,2020/21,,,
103,,Locally committed,"Create an attractive, cleaner & greener city",TRUE,,,FALSE,,A&B = 100%,,Cleanliness levels- Grade A,%,,,,,,,,,,,,,17,Coventry,2017/18,2,Coventry ,2018/19,3,Coventry ,2019/20,0,Coventry ,2020/21,1,Coventry ,2021/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,Locally committed,"Create an attractive, cleaner & greener city",TRUE,,,FALSE,,A&B = 100%,,Cleanliness levels- Grade B,%,,,,,,,,,,,,,80,Coventry,2017/18,94,Coventry ,2018/19,95,Coventry ,2019/20,95,Coventry ,2020/21,96,Coventry ,2021/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,Locally committed,"Create an attractive, cleaner & greener city",TRUE,,,FALSE,,0,,Cleanliness levels- Grade C,%,,,,,,,,,,,,,3,Coventry,2017/18,4,Coventry ,2018/19,2,Coventry ,2019/20,4,Coventry ,2020/21,3,Coventry ,2021/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,Locally committed,"Create an attractive, cleaner & greener city",TRUE,,,FALSE,,0,,Cleanliness levels- Grade D,%,,,,,,,,,,,,,0,Coventry,2017/18,0,Coventry ,2018/19,0,Coventry ,2019/20,1,Coventry ,2020/21,0,Coventry ,2021/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,Delivering our priorities with fewer resources,Making the most of our assets,TRUE,,,FALSE,,None set,,Customer telephone contact answered (capture rate),%,,,,,,,,,,,,,,,,84,Coventry ,2018-19,91,Coventry ,2019/20,94,Coventry ,2020/21,79,Coventry ,2021/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,Crime (number of crimes),number,21229,Coventry,2015/16 refreshed,11153,Coventry,Apr-Sep 2016/17,23019,Coventry,2016/17 revised,12164,Coventry,Apr-Sep 2017/18,25687,Coventry,2017/18,28056,Coventry ,Jan 2019 rolling year,28592,Coventry ,2019/20 revised,31309,Coventry ,2020/21,40059,Coventry ,2021/22,42867,Coventry,2022/23,,,,,,,,,,,,,,,,,,,34745,Wolverhampton,2021/22,35053,Wolverhampton,2022/23,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,Looked after children (number),number,580,Coventry,01/03/2016,578,Coventry,01/09/2016,620,Coventry,01/03/2017,663,Coventry,01/09/2017,652,Coventry,01/03/2018,703,Coventry ,01/03/2019,701,Coventry ,March 2020 revised,747,Coventry ,01/03/2021,723,Coventry ,March 2022 revised,730,Coventry,March 2023 provisional,,,,,,,598,Statistical Neighbours,2017/18,,,,,,,,,,,,,629,Statistical Neighbours,2021/22,,,,,,,,,,,,,,,,,,,,,,537,England,2021/22
,,,,FALSE,,,FALSE,,,,Adult social care service users receiving long term on-going support (number),number,3631,Coventry,31 March 2016 revised,3421,Coventry,30/09/2016,3430,Coventry,31/03/2017,3428,Coventry,01/09/2017,3230,Coventry,31/03/2018,3287,Coventry ,31/03/2019,3405,Coventry ,31/03/2020,3404,Coventry ,31/03/2021,3531,Coventry ,31/03/2022,3595,Coventry,31/03/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,Number of children (aged under 16) living in Relative low-income families,number,,,,,,,,,,,,,,,,,,,,,,17841,Coventry ,2019/20,16859,Coventry ,2020/21 revised,18267,Coventry,2021/22 provisional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Globally connected,Supporting businesses to grow,TRUE,,,FALSE,,,,Business rates collection rate,%,97.8,Coventry,2015/16,96.9,Coventry,Apr-Sep 2016/17,97.8,Coventry, 2016/17,97.2,Coventry,Apr-Sep 2017/18,98.1,Coventry,2017/18,98.2,Coventry ,2018/20,98,Coventry ,2019/20 ,91.3,Coventry ,2020/21,95.7,Coventry ,2021/22,98,Coventry,2022/23,,,,,,,,,,,,,97.4,West Midlands Combined Authority,2019/20,91.5,West Midlands Combined Authority,2020/21,,,,95.7,West Midlan Combined Authority ,2021/22,98.2,England,2016/17,98.4,England,2017/18,,,,,,,98,England,2019/20,93,England,2020/21,,,,95.5,England,2021/22
,,,,FALSE,,,FALSE,,,,Active enterprises (number) (proxy for new businesses),number,8835,Coventry,2015 revised,,,,9505,Coventry,2016,,,,10065,Coventry,2017,9845,Coventry ,2018,10065,Coventry ,2019,10120,Coventry ,2020,10210,Coventry ,2021,10295,Coventry,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"16-17 year olds not in education, employment or training (NEET) excluding not knowns",%,,,,,,,,,,3.1,Coventry,2017,,,,3.5,Coventry ,2018,3.3,Coventry ,2019,3,Coventry ,2020,2.3,Coventry ,2021,2.1,Coventry,2022,,,,2.7,West Midlands Combined Authority,2017,,,,2.4,West Midlands Region,2018,2.4,West Midlands Region,2019,2.3,West Midlands Region,2020,2.6,West Midlands Region,2021,2.2,West Midland Region,2022,,,,2.8,England,2017,,,,2.7,England,2018,2.6,England,2019,2.7,England,2020,2.8,England,2021,2.6,England,2022
,,,,FALSE,,,FALSE,,,,"16-17 year olds not in education, employment or training (NEET) status not known",%,,,,,,,,,,3.7,Coventry,2017,,,,1.9,Coventry ,2018,2.1,Coventry ,2019,2,Coventry ,2020,2.1,Coventry ,2021,1.8,Coventry,2022,,,,4.6,West Midlands Combined Authority,2017,,,,4,West Midlands Region,2018,3,West Midlands Region,2019,3,West Midlands Region,2020,3.1,West Midlands Region,2021,2.7,West Midland Region,2022,,,,3.2,England,2017,,,,3.3,England,2018,2.9,England,2019,2.8,England,2020,2.7,England,2021,2.2,England,2022
,,,,FALSE,,,FALSE,,,,Domestic violence offences known to the police (females),number,,,,,,,2484,Coventry,2016/17,2461,Coventry,Apr-Sep 2017/18,4758,Coventry,2017/18 revised,5299,Coventry ,2018/19,5901,Coventry ,2019/20 revised,7719,Coventry ,2020/21,8121,Coventry ,2021/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,Domestic violence offences known to the police (males),number,,,,,,,447,Coventry,2016/17,496,Coventry,Apr-Sep 2017/18,956,Coventry,2017/18 revised,1255,Coventry ,2018/19,1346,Coventry ,2019/20 revised,2112,Coventry ,2020/21,2501,Coventry ,2021/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,Households with access to full fibre ,%,,,,,,,,,,,,,,,,,,,,,,75.4,Coventry ,01/01/2021,91.9,Coventry ,01/01/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for any other Ethnic Group",% difference,,,,,,,,,,,,,,,,-10.4,Coventry ,2018,-5,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Any other mixed ethnicity",% difference,,,,,,,-9,Coventry,2016,,,,-4,Coventry,2017,-7.6,Coventry ,2018,0,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for any other White",% difference,,,,,,,,,,,,,,,,-1.1,Coventry ,2018,-0.3,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Asian Bangladeshi",% difference,,,,,,,3,Coventry,2016,,,,7,Coventry,2017,1.1,Coventry ,2018,-13.1,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Asian Chinese",% difference,,,,,,,-19,Coventry,2016,,,,14,Coventry,2017,-7.9,Coventry ,2018,-13.2,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Asian Indian",% difference,,,,,,,-4,Coventry,2016,,,,0,Coventry,2017,1.1,Coventry ,2018,-4.8,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Asian Pakistani",% difference,,,,,,,2,Coventry,2016,,,,-5,Coventry,2017,3.2,Coventry ,2018,-3.7,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Black African ",% difference,,,,,,,-5,Coventry,2016,,,,-5,Coventry,2017,-5.5,Coventry ,2018,-1.8,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FALSE,,,FALSE,,,,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Black Caribbean",% difference,,,,,,,-13,Coventry,2016,,,,-22,Coventry,2017,-21.1,Coventry ,2018,-23.9,Coventry ,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
