Sort Order,Council Plan,Priority,Progress,Council Plan Indicator,Indicator,Unit,2015/16 end of year indicator value,2015/16 end of year indicator scope,2015/16 end of year indicator date,2016/17 half year indicator value,2016/17 half year indicator scope,2016/17 half year indicator date,2016/17 end of year indicator value,2016/17 end of year indicator scope,2016/17 end of year indicator date,2017/18 half year indicator value,2017/18 half year indicator scope,2017/18 half year indicator date,2017/18 end of year indicator value,2017/18 end of year indicator scope,2017/18 end of year indicator date,2018-19 end of year indicator value,2018-19 end of year indicator scope,2018-19 end of year indicator date,2019-20 end of year indicator value,2019-20 end of year indicator scope,2019-20 end of year indicator date,2016/17 half year indicator comparator indicator value,2016/17 half year indicator comparator indicator scope,2016/17 half year indicator comparator indicator date,2016/17 end of year indicator comparator indicator value,2016/17 end of year indicator comparator indicator scope,2016/17 end of year indicator comparator indicator date,2017/18 half year indicator comparator indicator value,2017/18 half year indicator comparator indicator scope,2017/18 half year indicator comparator indicator date,2017/18 end of year indicator comparator indicator value,2017/18 end of year comparator indicator scope,2017/18 end of year indicator comparator indicator date,2018-19 end of year  comparator indicator value,2018-19 end of year  comparator indicator scope,2018-19 end of year comparator indicator date,2019-20 end of year  comparator indicator value,2019-20 end of year  comparator indicator scope,2019-20 end of year comparator indicator date,2016/17 half year indicator national indicator value,2016/17 half year indicator national indicator scope,2016/17 half year indicator national indicator date,2016/17 end of year indicator national indicator value,2016/17 end of year indicator national indicator scope,2016/17 end of year indicator national indicator date,2017/18 half year indicator national indicator value,2017/18 half year indicator national indicator scope,2017/18 half year indicator national indicator date,2017/18 end of year indicator national indicator value,2017/18 end of year indicator national indicator scope,2017/18 end of year indicator national indicator date,2018-19 end of year national indicator value,2018-19 end of year national indicator scope,2018-19 end of year national indicator date,2019-20 end of year national indicator value,2019-20 end of year national indicator scope,2019-20 end of year national indicator date,Target Status,,,,,,,
81,Locally committed,Protecting our most vulnerable people,,FALSE,Adult social care service users receiving long term on-going support (rate),"rate per 100,000 population",1343,Coventry,31-Mar-16,1266,Coventry,30-Sep-16,1269,Coventry,31-Mar-17,1240,Coventry,Sep-17,1168,Coventry,31-Mar-18,1188,Coventry ,31-Mar-19,1232,Coventry ,31-Mar-20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1596,CIPFA,2018/19,N/A,N/A,N/A,1716,England,2015/16,1506,England,2016/17,N/A,N/A,N/A,1467,England,2017/18,1446,England,2018/19,,,,,,,,
82,Locally committed,Protecting our most vulnerable people,BETTER,TRUE,Adult social care service users receiving long term on-going support (number),number,3631,Coventry,31 March 2016 revised,3421,Coventry,30-Sep-16,3430,Coventry,31-Mar-17,3428,Coventry,Sep-17,3230,Coventry,31-Mar-18,3287,Coventry ,31-Mar-19,3405,Coventry ,31-Mar-20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,On-target,,,,,,,
83,Locally committed,Protecting our most vulnerable people,BETTER,TRUE,Proportion of adult social care service users who feel safe,%,70,Coventry,2015/16,N/A,N/A,N/A,75,Coventry,2016/17 ,N/A,N/A,N/A,72,Coventry,2017/18,70,Coventry ,2018/19,76.7,Coventry ,2019/20,68.7,CIPFA,2015/16 revised,69,CIPFA,2016/17,N/A,N/A,N/A,N/A,N/A,N/A,68,CIPFA,2017/18,67.6,CIPFA,2018/19,68.8,England,2015/16 revised,70,England,2016/17,N/A,N/A,N/A,N/A,N/A,N/A,70,England,2017/18,70,England,2018/19,No Target Set,,,,,,,
84,Locally committed,Protecting our most vulnerable people,CANT SAY,TRUE,Adults who contacted social care not previously receiving social care support (rate),"rate per 100,000 population",3440,Coventry,2015/16 revised,2484,Coventry,Apr-Sep 2016/17 excluding mental health data,3585,Coventry,2016/17 revised,1128,Coventry,Sept 2017 excluding mental health data,3722,Coventry,2017/18,3600,Coventry ,2018/19 revised,3801,Coventry ,2019/20,N/A,N/A,N/A,5215,CIPFA,2015/16,4525,CIPFA,2016/17,N/A,N/A,N/A,4870,CIPFA,2017/18,5685,CIPFA,2018/19,N/A,N/A,N/A,4200,England,2015/16,4175,England,2016/17 revised,N/A,N/A,N/A,4215,England,2017/18,4350,England,2018/19,Target not applicable,,,,,,,
85,Locally committed,Protecting our most vulnerable people,,FALSE,Adults who contacted social care not previously receiving social care support (number),number,9296,Coventry,2015/16,3358 excluding mental health,Coventry,Apr-Sep 2016/17,9691,Coventry,2016/17 revised,3119,Coventry,Sept 2017 excluding mental health data,10290,Coventry,2017/18,10367,Coventry ,2018/19,10534,Coventry ,2019/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
86,Locally committed,Protecting our most vulnerable people,N/A,TRUE,Breastfeeding rates at 6-8 weeks,%,NA,Coventry,2015/16 failed validation test,N/A,N/A,N/A,43.7,Coventry,2012/13,N/A,N/A,N/A,48.7,Coventry,2016/17,48.3,Coventry ,2017/18,N/A,Coventry ,2018/19,N/A,N/A,N/A,N/A,WMR,2016/17 failed validation test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47.2,England,2012/13,43.8,England,2014/15,43.2,England,2015/16,44.4,England,2016/17,42.7,England,2017/18,46.2,England,2018/19,No Target Set,,,,,,,
87,Locally committed,Reducing health inequalities,EQUALS,TRUE,Male healthy life expectancy at birth,years,61.3,Coventry,2012-14 revised,N/A,N/A,N/A,62.9,Coventry,2013-15,N/A,N/A,N/A,62.2,Coventry,2014-16,62.9,Coventry ,2015-17,61.9,Coventry ,2016-18,62.4,WMR,2012-14,62.4,WMR,2013-15,N/A,N/A,N/A,62.6,WMR,2014-16,62.1,WMR,2015-17,61.8,WMR,2016-18,63.4,England,2012-14,63.4,England,2013-15,N/A,N/A,N/A,63.3,England,2014-16,63.4,England,2015-17,63.4,England,2016-18,No Target Set,,,,,,,
88,Locally committed,Reducing health inequalities,EQUALS,TRUE,Female healthy life expectancy at birth,years,63.4,Coventry,2012-14 revised,N/A,N/A,N/A,63.8,Coventry,2013-15,N/A,N/A,N/A,62.9,Coventry,2014-16,63.5,Coventry ,2015-17,62.5,Coventry ,2016-18,62.5,WMR,2012-14,63.2,WMR,2013-15,N/A,N/A,N/A,63.2,WMR,2014-16,62.9,WMR,2015-17,62.3,WMR,2016-18,64,England,2012-14,64.1,England,2013-15,N/A,N/A,N/A,63.9,England,2014-16,63.8,England,2015-17,63.9,England,2016-18,No Target Set,,,,,,,
89,Delivering our priorities with fewer resources,Making the most of our assets,BETTER,TRUE,Carbon dioxide emissions (from local authority operations),tonnes,16368,Coventry,2015/16 actual,N/A,N/A,N/A,N/A,N/A,N/A,14369,Coventry,2016/17 Revised Final,14833,Coventry,2017/18 Final,10712,Coventry ,2018/19 final,9902,Coventry ,2019/20 estimate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,On-target,,,,,,,
90,Delivering our priorities with fewer resources,Making the most of our assets,CANT SAY,TRUE,"Core employee headcount (full-time equivalents, fte)",full-time equivalents,4242.05,Coventry,Mar-16,4163.65,Coventry,Sep-16,4108.31,Coventry,Mar-17,3814.93,Coventry,Sep-17,3693.71,Coventry,Mar-18,3829.94,Coventry ,Mar-19,3952.49,Coventry ,Mar-20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Target not applicable,,,,,,,
91,Delivering our priorities with fewer resources,Making the most of our assets,WORSE,TRUE,Sickness absence (rolling year),days per full-time equivalent,10.56,Coventry,2015/16,N/A,N/A,N/A,10.22,Coventry,2016/17,N/A,N/A,N/A,11.75,Coventry,2017/18,10.94,Coventry ,2018/19,12.71,Coventry ,2019/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Off-target,,,,,,,
92,Delivering our priorities with fewer resources,Making the most of our assets,EQUALS,TRUE,Transactions done online,%,20,Coventry,2015/16,28,Coventry,Apr-Sep 2016/17,28,Coventry,2016/17,33,Coventry,Sep-17,33,Coventry,2017/18,36,Coventry ,2018/19,36,Coventry ,2019/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Off-target,,,,,,,
93,Delivering our priorities with fewer resources,Making the most of our assets,BETTER,TRUE,Customer telephone contact anwsered [capture rate],%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84,Coventry ,2018.19,91,Coventry ,2019/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Off-target,,,,,,,
94,Locally committed,Make communities safer,,FALSE,Reported incidents motivated by hatred/prejudice towards a person because of their actual/perceived protected characteristic of disability,number,27,Coventry,2015/16,9,Coventry,Apr-Sep 2016/17,13,Coventry,2016/17,<5,Coventry,Sep-17,<5,Coventry,2017/18,11,Coventry ,2018/19,3,Coventry ,2019/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,
95,Locally committed,Make communities safer,,FALSE,Reported incidents motivated by hatred/prejudice towards a person because of their actual/perceived protected characteristic of race/ethnicity,number,428,Coventry,2015/16,271,Coventry,Apr-Sep 2016/17,426,Coventry,2016/17,200,Coventry,Sep-17,415,Coventry,2017/18,400,Coventry ,2018/19,497,Coventry ,2019/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,
96,Locally committed,Make communities safer,,FALSE,Reported incidents motivated by hatred/prejudice towards a person because of their actual/perceived protected characteristic of sex/gender/gender identity,number,<5,Coventry,2015/16,<5,Coventry,Apr-Sep 2016/17,<5,Coventry,2016/17,<5,Coventry,Sep-17,<5,Coventry,2017/18,9,Coventry ,2018/19,11,Coventry ,2019/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,
97,Locally committed,Make communities safer,,FALSE,Reported incidents motivated by hatred/prejudice towards a person because of their actual/perceived protected characteristic of sexual orientation,number,45,Coventry,2015/16,20,Coventry,Apr-Sep 2016/17,34,Coventry,2016/17,19,Coventry,Sep-17,39,Coventry,2017/18,38,Coventry ,2018/19,74,Coventry ,2019/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,
98,Locally committed,Make communities safer,,FALSE,Reported incidents motivated by hatred/prejudice towards a person because of their actual/perceived protected characteristic of religion/belief,number,23,Coventry,2015/16,9,Coventry,Apr-Sep 2016/17,8,Coventry,2016/17,9,Coventry,Sep-17,27,Coventry,2017/18,9,Coventry ,2018/19,7,Coventry ,2019/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,
99,Locally committed,Make communities safer,,FALSE,Reported incidents motivated by hatred/prejudice towards a person because of their actual/perceived protected characteristic of gypsy/traveller,number,<5,Coventry,2015/16,0,Coventry,Apr-Sep 2016/17,0,Coventry,2016/17,0,Coventry,Sep-17,0,Coventry,2017/18,0,Coventry ,2018/19,0,Coventry ,2019/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,
100,Locally committed,Make communities safer,,FALSE,Reported incidents motivated by hatred/prejudice towards a person because of their actual/perceived protected characteristic not stated,number,<5,Coventry,2015/16,0,Coventry,Apr-Sep 2016/18,5,Coventry,2016/18,<5,Coventry,Sep-17,<5,Coventry,2017/18,<5,Coventry ,2018/19,<5,Coventry ,2019/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,,,,,,,
101,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Black African",%,New Indicator,N/A,N/A,N/A,N/A,N/A,48,Coventry,2016,N/A,N/A,N/A,56,Coventry,2017,60.3,Coventry ,2018,65.2,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,53,Black African England,2016,N/A,N/A,N/A,61,Black African England,2017,65.8,Black African England,2018,67,Black African England,2019, ,,,,,,,
102,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Black Caribbean",%,New Indicator,N/A,N/A,N/A,N/A,N/A,29,Coventry,2016,N/A,N/A,N/A,31,Coventry,2017,34.2,Coventry ,2018,32.4,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42,Black Caribbean England,2016,N/A,N/A,N/A,53,Black Caribbean England,2017,55.3,Black Caribbean England,2018,56.3,Black Caribbean England,2019, ,,,,,,,
103,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Black Other",%,New Indicator,N/A,N/A,N/A,N/A,N/A,58,Coventry,2016,N/A,N/A,N/A,49,Coventry,2017,67.7,Coventry ,2018,60,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47,Black Other England,2016,N/A,N/A,N/A,57,Black Other England,2017,61.2,Black Other England,2018,60.4,Black Other England,2019, ,,,,,,,
104,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Asian Indian",%,New Indicator,N/A,N/A,N/A,N/A,N/A,57,Coventry,2016,N/A,N/A,N/A,72,Coventry,2017,77.6,Coventry ,2018,71.7,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61,Asian Indian England,2016,N/A,N/A,N/A,72,Asian Indian England,2017,76.5,Asian Indian England,2018,76.5,Asian Indian England,2019, ,,,,,,,
105,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Asian Pakistani",%,New Indicator,N/A,N/A,N/A,N/A,N/A,49,Coventry,2016,N/A,N/A,N/A,51,Coventry,2017,64.3,Coventry ,2018,58.7,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47,Asian Pakistani England,2016,N/A,N/A,N/A,56,Asian Pakistani England,2017,61.1,Asian Pakistani England,2018,62.4,Asian Pakistani England,2019, ,,,,,,,
106,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Asian Bangladeshi",%,New Indicator,N/A,N/A,N/A,N/A,N/A,57,Coventry,2016,N/A,N/A,N/A,71,Coventry,2017,70.1,Coventry ,2018,57.1,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,54,Asian Bangladeshi England,2016,N/A,N/A,N/A,64,Asian Bangladeshi England,2017,69,Asian Bangladeshi England,2018,70.2,Asian Bangladeshi England,2019, ,,,,,,,
107,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Asian Chinese",%,New Indicator,N/A,N/A,N/A,N/A,N/A,50,Coventry,2016,N/A,N/A,N/A,91,Coventry,2017,73.3,Coventry ,2018,66.7,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,69,Asian Chinese England,2016,N/A,N/A,N/A,77,Asian Chinese England,2017,81.2,Asian Chinese England,2018,79.9,Asian Chinese England,2019, ,,,,,,,
108,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for White",%,New Indicator,N/A,N/A,N/A,N/A,N/A,49,Coventry,2016,N/A,N/A,N/A,58,Coventry,2017,60,Coventry ,2018,61.9,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,54,White England,2016,N/A,N/A,N/A,61,White England,2017,64.5,White England,2018,64.8,White England,2019, ,,,,,,,
109,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for White and Black African",%,New Indicator,N/A,N/A,N/A,N/A,N/A,44,Coventry,2016,N/A,N/A,N/A,71,Coventry,2017,63.9,Coventry ,2018,52.6,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,54,White and black African England,2016,N/A,N/A,N/A,62,White and black African England,2017,65.3,White and black African England,2018,66.6,White and black African England,2019, ,,,,,,,
110,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for White and Black Caribbean",%,New Indicator,N/A,N/A,N/A,N/A,N/A,42,Coventry,2016,N/A,N/A,N/A,46,Coventry,2017,57.5,Coventry ,2018,59.6,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47,White and black Caribbean England,2016,N/A,N/A,N/A,54,White and black Caribbean England,2017,56.9,White and black Caribbean England,2018,58.5,White and black Caribbean England,2019, ,,,,,,,
111,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for White and Asian",%,New Indicator,N/A,N/A,N/A,N/A,N/A,55,Coventry,2016,N/A,N/A,N/A,60,Coventry,2017,62.5,Coventry ,2018,65.8,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63,White and Asian England,2016,N/A,N/A,N/A,69,White and Asian England,2017,72.1,White and Asian England,2018,73,White and Asian England,2019, ,,,,,,,
112,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for any other mixed ethnicity",%,New Indicator,N/A,N/A,N/A,N/A,N/A,47,Coventry,2016,N/A,N/A,N/A,60,Coventry,2017,60.3,Coventry ,2018,67.8,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,56,Any other mixed England,2016,N/A,N/A,N/A,64,Any other mixed England,2017,67.9,Any other mixed England,2018,67.8,Any other mixed England,2019, ,,,,,,,
113,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Roma/Gypsy",%,New Indicator,N/A,N/A,N/A,N/A,N/A,7,Coventry,2016,N/A,N/A,N/A,11,Coventry,2017,12.8,Coventry ,2018,6.1,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13,Roma Gypsy England,2016,N/A,N/A,N/A,16,Roma Gypsy England,2017,17.6,Roma Gypsy England,2018,19.2,Roma Gypsy England,2019, ,,,,,,,
114,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Irish ",%,New Indicator,N/A,N/A,N/A,N/A,N/A,76,Coventry,2016,N/A,N/A,N/A,73,Coventry,2017,73.3,Coventry ,2018,69.2,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60,Irish England,2016,N/A,N/A,N/A,68,Irish England,2017,69.8,Irish England,2018,72.6,Irish England,2019, ,,,,,,,
115,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Traveller of Irish Heritage",%,New Indicator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.3,Coventry ,2018,0,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.9,Traveller of Irish Heritage England,2018,25.6,Traveller of Irish Heritage England,2019, ,,,,,,,
116,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Any other White",%,New Indicator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,59.9,Coventry ,2018,62.4,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62.7,Any other Whie England,2019,,,,,,,,
117,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Any other Ethnic Group ",%,New Indicator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,Coventry ,2018,56.3,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61.3,Any other Ethnic Group England,2019,,,,,,,,
118,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Transient",%,New Indicator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38.5,Coventry ,2018,44.5,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47,Transient England,2018,47.2,Transient England,2019, ,,,,,,,
119,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for eligible for pupil premium",%,New Indicator,N/A,N/A,N/A,N/A,N/A,38,Coventry,2016,N/A,N/A,N/A,46,Coventry,2017,49,Coventry ,2018,51,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39,Pupil Premium England,2016,N/A,N/A,N/A,47,Pupil Premium England,2017,50.7,Pupil Premium England,2018,51.3,Pupil Premium England,2019, ,,,,,,,
120,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for eligible for White boys pupil premium",%,New Indicator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42,Coventry,2017,41.1,Coventry ,2018,42.2,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46,White Boys pupil premium England,2018,42.9,White Boys pupil premium England,2019, ,,,,,,,
121,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for looked after children",%,New Indicator,N/A,N/A,N/A,N/A,N/A,33,Coventry,2016,N/A,N/A,N/A,22,Coventry,2017,25.8,Coventry ,2018,36,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,53,Looked After children England,2016,N/A,N/A,N/A,32,Looked After Children England,2017,35,Looked After Children England,2018,36,Looked After Children England,2019, ,,,,,,,
122,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for special educational needs",%,New Indicator,N/A,N/A,N/A,N/A,N/A,11,Coventry,2016,N/A,N/A,N/A,16,Coventry,2017,18.6,Coventry ,2018,20.7,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14,SEN England,2016,N/A,N/A,N/A,18,SEN England,2017,21.3,SEN England,2018,22.3,SEN England,2019, ,,,,,,,
