Sort Order,Council Plan,Priority,Progress,Council Plan Indicator,Indicator,Unit,2015/16 end of year indicator value,2015/16 end of year indicator scope,2015/16 end of year indicator date,2016/17 half year indicator value,2016/17 half year indicator scope,2016/17 half year indicator date,2016/17 end of year indicator value,2016/17 end of year indicator scope,2016/17 end of year indicator date,2017/18 half year indicator value,2017/18 half year indicator scope,2017/18 half year indicator date,2017/18 end of year indicator value,2017/18 end of year indicator scope,2017/18 end of year indicator date,2018-19 end of year indicator value,2018-19 end of year indicator scope,2018-19 end of year indicator date,2019-20 end of year indicator value,2019-20 end of year indicator scope,2019-20 end of year indicator date,2020-21 end of year indicator value,2020-21 end of year indicator scope,2020-21 end of year indicator date,2016/17 end of year indicator comparator indicator value,2016/17 end of year indicator comparator indicator scope,2016/17 end of year indicator comparator indicator date,2017/18 half year indicator comparator indicator value,2017/18 half year indicator comparator indicator scope,2017/18 half year indicator comparator indicator date,2017/18 end of year indicator comparator indicator value,2017/18 end of year comparator indicator scope,2017/18 end of year indicator comparator indicator date,2018-19 end of year  comparator indicator value,2018-19 end of year  comparator indicator scope,2018-19 end of year comparator indicator date,2019-20 end of year  comparator indicator value,2019-20 end of year  comparator indicator scope,2019-20 end of year comparator indicator date,2019-20 end of year  comparator indicator value,2020-21 end of year  comparator indicator scope,2020-21 end of year comparator indicator date,2016/17 end of year indicator national indicator value,2016/17 end of year indicator national indicator scope,2016/17 end of year indicator national indicator date,2017/18 half year indicator national indicator value,2017/18 half year indicator national indicator scope,2017/18 half year indicator national indicator date,2017/18 end of year indicator national indicator value,2017/18 end of year indicator national indicator scope,2017/18 end of year indicator national indicator date,2018-19 end of year national indicator value,2018-19 end of year national indicator scope,2018-19 end of year national indicator date,2019-20 end of year national indicator value,2019-20 end of year national indicator scope,2019-20 end of year national indicator date,2020-21 end of year national indicator value,2020-21 end of year national indicator scope,2020-21 end of year national indicator date,Target Status,Coventry2030,,,,,
73,Locally committed,Protecting our most vulnerable people,,FALSE,Rate households accepted as statutory homeless,"rate per 1,000 households",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.2,Coventry ,2019/20,5,Coventry ,2020/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,WMR,2019/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.3,England,2018/19,N/A,N/A,N/A,,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
74,Locally committed,Protecting our most vulnerable people,CANT SAY,TRUE,Homelessness cases prevented and relieved,number,1411,Coventry,2015/16 revised,500,Coventry,Apr-Sep 2016/17,922,Coventry,2016/17 revised,281,Coventry,Apr-Sep 2017/18,659,Coventry,2017/18,413,Coventry ,2018/19,552,Coventry ,2019/20,1083,Coventry ,2020/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,On-target,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
75,Locally committed,Protecting our most vulnerable people,,FALSE,Rate homelessness cases prevented and relieved,"rate per 1,000 households",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.8,Coventry ,2019/20,7.4,Coventry ,2020/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.7,WMR,2019/20,N/A,WMR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.5,England,2018/19,N/A,N/A,N/A,,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
76,Locally committed,Protecting our most vulnerable people,N/A,TRUE,Overall satisfaction of people who use services with their care and support,%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63.4,Coventry ,2018/19,63.1,Coventry ,2019/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62.6,CIPFA,2018/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64.3,England,2018/19,N/A,N/A,N/A,N/A,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
77,Locally committed,Protecting our most vulnerable people,N/A,TRUE,Overall satisfaction of carers with social services,%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.1,Coventry ,2018/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38.5,CIPFA,2018/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38.6,England,2018/19,N/A,N/A,N/A,N/A,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
78,Locally committed,Protecting our most vulnerable people,CANT SAY,TRUE,"Adult safeguarding S42 enquiries (rate per 100,000 population)","rate per 100,000 population",357,Coventry,2015/16,332,Coventry,Apr-Sep 2016/17,390,Coventry,2016/17 revised,102,Coventry,Apr-Sep 2017/18,259,Coventry,2017/18,228,Coventry ,2018/19 ,185,Coventry ,2019/20,163,Coventry ,2020/21,290,WMR,2015/16,184,WMR,2016/17,N/A,N/A,N/A,183,WMR,2017/18,223,WMR,2018/19,207,WMR,2019/20,239,England,2015/16,250,England,2016/17,N/A,N/A,N/A,245,England,2017/18,326,England,2018/19,292,England,2019/20,Target not applicable,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
79,Locally committed,Protecting our most vulnerable people,,FALSE,Adult safeguarding S42 enquiries (number),number,966,Coventry,2015/16,499,Coventry,Apr-Sep 2016/17,920,Coventry,2016/17 revised,281,Coventry,Apr-Sep 2017/18,717,Coventry,2017/18,655,Coventry ,2018/19 ,532,Coventry ,2019/20,476,Coventry ,2020/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
80,Locally committed,Protecting our most vulnerable people,BETTER,TRUE,Regulated adult social care services rated as inadequate,%,3,Coventry,31-Mar-16,0,Coventry,30-Sep-16,1,Coventry,31-Mar-17,1,Coventry,Sep-17,4,Coventry,31-Mar-18,0,Coventry ,31-Mar-19,4.2,Coventry ,31-Mar-20,3.7,Coventry ,31-Mar-21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,On-target,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
81,Locally committed,Protecting our most vulnerable people,,FALSE,Adult social care service users receiving long term on-going support (rate),"rate per 100,000 population",1343,Coventry,31-Mar-16,1266,Coventry,30-Sep-16,1269,Coventry,31-Mar-17,1240,Coventry,Sep-17,1168,Coventry,31-Mar-18,1188,Coventry ,31-Mar-19,1232,Coventry ,31-Mar-20,1167,Coventry ,31-Mar-21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1596,CIPFA,2018/19,1594,CIPFA,2019/20,1716,England,2015/16,1506,England,2016/17,N/A,N/A,N/A,1467,England,2017/18,1446,England,2018/19,1424,England,2019/20,,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
82,Locally committed,Protecting our most vulnerable people,BETTER,TRUE,Adult social care service users receiving long term on-going support (number),number,3631,Coventry,31 March 2016 revised,3421,Coventry,30-Sep-16,3430,Coventry,31-Mar-17,3428,Coventry,Sep-17,3230,Coventry,31-Mar-18,3287,Coventry ,31-Mar-19,3405,Coventry ,31-Mar-20,3404,Coventry ,31-Mar-21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,On-target,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
83,Locally committed,Protecting our most vulnerable people,N/A,TRUE,Proportion of adult social care service users who feel safe,%,70,Coventry,2015/16,N/A,N/A,N/A,75,Coventry,2016/17 ,N/A,N/A,N/A,72,Coventry,2017/18,70,Coventry ,2018/19,76.7,Coventry ,2019/20,N/A,N/A,N/A,69,CIPFA,2016/17,N/A,N/A,N/A,N/A,N/A,N/A,68,CIPFA,2017/18,67.6,CIPFA,2018/19,N/A,N/A,N/A,70,England,2016/17,N/A,N/A,N/A,N/A,N/A,N/A,70,England,2017/18,70,England,2018/19,N/A,N/A,N/A,N/A,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
84,Locally committed,Protecting our most vulnerable people,CANT SAY,TRUE,Adults who contacted social care not previously receiving social care support (rate),"rate per 100,000 population",3440,Coventry,2015/16 revised,2484,Coventry,Apr-Sep 2016/17 excluding mental health data,3585,Coventry,2016/17 revised,1128,Coventry,Sept 2017 excluding mental health data,3722,Coventry,2017/18,3600,Coventry ,2018/19 revised,3611,Coventry ,2019/20 revised,3383,Coventry ,2020/21,5215,CIPFA,2015/16,4525,CIPFA,2016/17,N/A,N/A,N/A,4870,CIPFA,2017/18,5685,CIPFA,2018/19,5003,CIPFA,2019/20,4200,England,2015/16,4175,England,2016/17 revised,N/A,N/A,N/A,4215,England,2017/18,4350,England,2018/19,4362,England,2019/20,Target not applicable,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
85,Locally committed,Protecting our most vulnerable people,,FALSE,Adults who contacted social care not previously receiving social care support (number),number,9296,Coventry,2015/16,3358 excluding mental health,Coventry,Apr-Sep 2016/17,9691,Coventry,2016/17 revised,3119,Coventry,Sept 2017 excluding mental health data,10290,Coventry,2017/18,10367,Coventry ,2018/19,10534,Coventry ,2019/20,9870,Coventry ,2020/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
86,Locally committed,Protecting our most vulnerable people,BETTER,TRUE,Breastfeeding rates at 6-8 weeks,%,NA,Coventry,2015/16 failed validation test,N/A,N/A,N/A,43.7,Coventry,2012/13,N/A,N/A,N/A,48.7,Coventry,2016/17,48.3,Coventry ,2017/18,48%,Coventry ,2018/19 not validated,50%,Coventry ,2019/20 not validated,N/A,WMR,2016/17 failed validation test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43.8,England,2014/15,43.2,England,2015/16,44.4,England,2016/17,42.7,England,2017/18,46.2,England,2018/19,48,England,2019/20,No Target Set,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
87,Locally committed,Reducing health inequalities,EQUALS,TRUE,Male healthy life expectancy at birth,years,61.3,Coventry,2012-14 revised,N/A,N/A,N/A,62.9,Coventry,2013-15,N/A,N/A,N/A,62.2,Coventry,2014-16,62.9,Coventry ,2015-17,61.9,Coventry ,2016-18,61.9,Coventry ,2017-19,62.4,WMR,2013-15,N/A,N/A,N/A,62.6,WMR,2014-16,62.1,WMR,2015-17,61.8,WMR,2016-18,61.5,WMR,2017-19,63.4,England,2013-15,N/A,N/A,N/A,63.3,England,2014-16,63.4,England,2015-17,63.4,England,2016-18,63.2,England,2017-19,No Target Set,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
88,Locally committed,Reducing health inequalities,EQUALS,TRUE,Female healthy life expectancy at birth,years,63.4,Coventry,2012-14 revised,N/A,N/A,N/A,63.8,Coventry,2013-15,N/A,N/A,N/A,62.9,Coventry,2014-16,63.5,Coventry ,2015-17,62.5,Coventry ,2016-18,64.2,Coventry ,2017-19,63.2,WMR,2013-15,N/A,N/A,N/A,63.2,WMR,2014-16,62.9,WMR,2015-17,62.3,WMR,2016-18,62.6,WMR,2017-19,64.1,England,2013-15,N/A,N/A,N/A,63.9,England,2014-16,63.8,England,2015-17,63.9,England,2016-18,63.5,England,2017-19,No Target Set,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
89,Delivering our priorities with fewer resources,Making the most of our assets,BETTER,TRUE,Carbon dioxide emissions (from local authority operations),tonnes,16368,Coventry,2015/16 actual,N/A,N/A,N/A,N/A,N/A,N/A,14369,Coventry,2016/17 Revised Final,14833,Coventry,2017/18 Final,10712,Coventry ,2018/19 final,9902,Coventry ,2019/20 estimate,9366,Coventry ,2020/21 estimate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No Target Set,Climate Change Matters More than Ever,,,,,
90,Delivering our priorities with fewer resources,Making the most of our assets,CANT SAY,TRUE,"Core employee headcount (full-time equivalents, fte)",full-time equivalents,4242.05,Coventry,Mar-16,4163.65,Coventry,Sep-16,4108.31,Coventry,Mar-17,3814.93,Coventry,Sep-17,3693.71,Coventry,Mar-18,3829.94,Coventry ,Mar-19,3952.49,Coventry ,Mar-20,4075.73,Coventry ,Mar-21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Target not applicable,Continued Financial Sustainability of the Council,,,,,
91,Delivering our priorities with fewer resources,Making the most of our assets,BETTER,TRUE,Sickness absence (rolling year),days per full-time equivalent,10.56,Coventry,2015/16,N/A,N/A,N/A,10.22,Coventry,2016/17,N/A,N/A,N/A,11.75,Coventry,2017/18,10.94,Coventry ,2018/19,12.71,Coventry ,2019/20,10.47,Coventry ,2020/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Off-target,Continued Financial Sustainability of the Council,,,,,
92,Delivering our priorities with fewer resources,Making the most of our assets,BETTER,TRUE,Number of transactions completed through self service channels (revised 2020/21),number,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,121391,Coventry ,2019/20,352751,Coventry ,2020/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No Target Set,Continued Financial Sustainability of the Council,,,,,
93,Delivering our priorities with fewer resources,Making the most of our assets,BETTER,TRUE,Customer telephone contact anwsered [capture rate],%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84,Coventry ,2018.19,91,Coventry ,2019/20,94,Coventry ,2020/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Off-target,Continued Financial Sustainability of the Council,,,,,
94,Locally committed,Make communities safer,,FALSE,Reported incidents motivated by hatred/prejudice towards a person because of their actual/perceived protected characteristic of disability - from 2019/20 recorded hate crime offences only. ,number,27,Coventry,2015/16,9,Coventry,Apr-Sep 2016/17,13,Coventry,2016/17,<5,Coventry,Sep-17,<5,Coventry,2017/18,11,Coventry ,2018/19,22,Coventry ,2019/20 revised,42,Coventry ,2020/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
95,Locally committed,Make communities safer,,FALSE,Reported incidents motivated by hatred/prejudice towards a person because of their actual/perceived protected characteristic of race/ethnicity- from 2019/20 recorded hate cirme offences only. ,number,428,Coventry,2015/16,271,Coventry,Apr-Sep 2016/17,426,Coventry,2016/17,200,Coventry,Sep-17,415,Coventry,2017/18,400,Coventry ,2018/19,466,Coventry ,2019/20 revised,745,Coventry ,2020/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
96,Locally committed,Make communities safer,,FALSE,Reported incidents motivated by hatred/prejudice towards a person because of their actual/perceived protected characteristic of sex/gender/gender identity- from 2019/20 recorded hate cirme offences only. ,number,<5,Coventry,2015/16,<5,Coventry,Apr-Sep 2016/17,<5,Coventry,2016/17,<5,Coventry,Sep-17,<5,Coventry,2017/18,9,Coventry ,2018/19,9,Coventry ,2019/20 revised,8,Coventry ,2020/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
97,Locally committed,Make communities safer,,FALSE,Reported incidents motivated by hatred/prejudice towards a person because of their actual/perceived protected characteristic of sexual orientation- from 2019/20 recorded hate cirme offences only. ,number,45,Coventry,2015/16,20,Coventry,Apr-Sep 2016/17,34,Coventry,2016/17,19,Coventry,Sep-17,39,Coventry,2017/18,38,Coventry ,2018/19,71,Coventry ,2019/20 revised,96,Coventry ,2020/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
98,Locally committed,Make communities safer,,FALSE,Reported incidents motivated by hatred/prejudice towards a person because of their actual/perceived protected characteristic of religion/belief- from 2019/20 recorded hate cirme offences only. ,number,23,Coventry,2015/16,9,Coventry,Apr-Sep 2016/17,8,Coventry,2016/17,9,Coventry,Sep-17,27,Coventry,2017/18,9,Coventry ,2018/19,19,Coventry ,2019/20 revised,25,Coventry ,2020/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
99,Locally committed,Make communities safer,,FALSE,Reported incidents motivated by hatred/prejudice towards a person because of their actual/perceived protected characteristic of gypsy/traveller- from 2019/20 recorded hate cirme offences only. ,number,<5,Coventry,2015/16,0,Coventry,Apr-Sep 2016/17,0,Coventry,2016/17,0,Coventry,Sep-17,0,Coventry,2017/18,0,Coventry ,2018/19,0,Coventry ,2019/20 revised,0,Coventry ,2020/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
100,Locally committed,Make communities safer,,FALSE,Reported incidents motivated by hatred/prejudice towards a person because of their actual/perceived protected characteristic not stated- from 2019/20 recorded hate cirme offences only. ,number,<5,Coventry,2015/16,0,Coventry,Apr-Sep 2016/18,5,Coventry,2016/18,<5,Coventry,Sep-17,<5,Coventry,2017/18,<5,Coventry ,2018/19,<5,Coventry ,2019/20 revised,0,Coventry ,2020/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
101,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Black African",%,New Indicator,N/A,N/A,N/A,N/A,N/A,48,Coventry,2016,N/A,N/A,N/A,56,Coventry,2017,60.3,Coventry ,2018,65.2,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,53,Black African England,2016,N/A,N/A,N/A,61,Black African England,2017,65.8,Black African England,2018,67,Black African England,2019,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
102,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Black Caribbean",%,New Indicator,N/A,N/A,N/A,N/A,N/A,29,Coventry,2016,N/A,N/A,N/A,31,Coventry,2017,34.2,Coventry ,2018,32.4,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42,Black Caribbean England,2016,N/A,N/A,N/A,53,Black Caribbean England,2017,55.3,Black Caribbean England,2018,56.3,Black Caribbean England,2019,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
103,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Black Other",%,New Indicator,N/A,N/A,N/A,N/A,N/A,58,Coventry,2016,N/A,N/A,N/A,49,Coventry,2017,67.7,Coventry ,2018,60,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47,Black Other England,2016,N/A,N/A,N/A,57,Black Other England,2017,61.2,Black Other England,2018,60.4,Black Other England,2019,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
104,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Asian Indian",%,New Indicator,N/A,N/A,N/A,N/A,N/A,57,Coventry,2016,N/A,N/A,N/A,72,Coventry,2017,77.6,Coventry ,2018,71.7,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61,Asian Indian England,2016,N/A,N/A,N/A,72,Asian Indian England,2017,76.5,Asian Indian England,2018,76.5,Asian Indian England,2019,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
105,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Asian Pakistani",%,New Indicator,N/A,N/A,N/A,N/A,N/A,49,Coventry,2016,N/A,N/A,N/A,51,Coventry,2017,64.3,Coventry ,2018,58.7,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47,Asian Pakistani England,2016,N/A,N/A,N/A,56,Asian Pakistani England,2017,61.1,Asian Pakistani England,2018,62.4,Asian Pakistani England,2019,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
106,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Asian Bangladeshi",%,New Indicator,N/A,N/A,N/A,N/A,N/A,57,Coventry,2016,N/A,N/A,N/A,71,Coventry,2017,70.1,Coventry ,2018,57.1,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,54,Asian Bangladeshi England,2016,N/A,N/A,N/A,64,Asian Bangladeshi England,2017,69,Asian Bangladeshi England,2018,70.2,Asian Bangladeshi England,2019,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
107,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Asian Chinese",%,New Indicator,N/A,N/A,N/A,N/A,N/A,50,Coventry,2016,N/A,N/A,N/A,91,Coventry,2017,73.3,Coventry ,2018,66.7,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,69,Asian Chinese England,2016,N/A,N/A,N/A,77,Asian Chinese England,2017,81.2,Asian Chinese England,2018,79.9,Asian Chinese England,2019,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
108,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for White",%,New Indicator,N/A,N/A,N/A,N/A,N/A,49,Coventry,2016,N/A,N/A,N/A,58,Coventry,2017,60,Coventry ,2018,61.9,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,54,White England,2016,N/A,N/A,N/A,61,White England,2017,64.5,White England,2018,64.8,White England,2019,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
109,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for White and Black African",%,New Indicator,N/A,N/A,N/A,N/A,N/A,44,Coventry,2016,N/A,N/A,N/A,71,Coventry,2017,63.9,Coventry ,2018,52.6,Coventry ,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,54,White and black African England,2016,N/A,N/A,N/A,62,White and black African England,2017,65.3,White and black African England,2018,66.6,White and black African England,2019,N/A,N/A,N/A, ,Improving Outcomes and Tackling Inequalities Within Our Community,,,,,
