Sort Order,Council Plan,Priority,Progress,Council Plan Indicator,Indicator,Unit,2015/16 end of year indicator value,2015/16 end of year indicator scope,2015/16 end of year indicator date,2016/17 half year indicator value,2016/17 half year indicator scope,2016/17 half year indicator date,2016/17 end of year indicator value,2016/17 end of year indicator scope,2016/17 end of year indicator date,2017/18 half year indicator value,2017/18 half year indicator scope,2017/18 half year indicator date,2017/18 end of year indicator value,2017/18 end of year indicator scope,2017/18 end of year indicator date,2018-19 end of year indicator value,2018-19 end of year indicator scope,2018-19 end of year indicator date,2016/17 half year indicator comparator indicator value,2016/17 half year indicator comparator indicator scope,2016/17 half year indicator comparator indicator date,2016/17 end of year indicator comparator indicator value,2016/17 end of year indicator comparator indicator scope,2016/17 end of year indicator comparator indicator date,2017/18 half year indicator comparator indicator value,2017/18 half year indicator comparator indicator scope,2017/18 half year indicator comparator indicator date,2017/18 end of year indicator comparator indicator value,2017/18 end of year comparator indicator scope,2017/18 end of year indicator comparator indicator date,2018-19 end of year  comparator indicator value,2018-19 end of year  comparator indicator scope,2018-19 end of year comparator indicator date,2016/17 half year indicator national indicator value,2016/17 half year indicator national indicator scope,2016/17 half year indicator national indicator date,2016/17 end of year indicator national indicator value,2016/17 end of year indicator national indicator scope,2016/17 end of year indicator national indicator date,2017/18 half year indicator national indicator value,2017/18 half year indicator national indicator scope,2017/18 half year indicator national indicator date,2017/18 end of year indicator national indicator value,2017/18 end of year indicator national indicator scope,2017/18 end of year indicator national indicator date,2018-19 end of year national indicator value,2018-19 end of year national indicator scope,2018-19 end of year national indicator date,Directionality,Progress,Target,Target Status, 
92,Locally committed,Make communities safer,,FALSE,Reported incidents motivated by hatred/prejudice towards a person because of their actual/perceived protected characteristic of disability,number,27,Coventry,2015/16,9,Coventry,Apr-Sep 2016/17,13,Coventry,2016/17,<5,Coventry,Sep-17,<5,Coventry,2017/18,11,Coventry ,2018/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, , , , 
93,Locally committed,Make communities safer,,FALSE,Reported incidents motivated by hatred/prejudice towards a person because of their actual/perceived protected characteristic of race/ethnicity,number,428,Coventry,2015/16,271,Coventry,Apr-Sep 2016/17,426,Coventry,2016/17,200,Coventry,Sep-17,415,Coventry,2017/18,400,Coventry ,2018/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, , , , 
94,Locally committed,Make communities safer,,FALSE,Reported incidents motivated by hatred/prejudice towards a person because of their actual/perceived protected characteristic of sex/gender/gender identity,number,<5,Coventry,2015/16,<5,Coventry,Apr-Sep 2016/17,<5,Coventry,2016/17,<5,Coventry,Sep-17,<5,Coventry,2017/18,9,Coventry ,2018/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, , , , 
95,Locally committed,Make communities safer,,FALSE,Reported incidents motivated by hatred/prejudice towards a person because of their actual/perceived protected characteristic of sexual orientation,number,45,Coventry,2015/16,20,Coventry,Apr-Sep 2016/17,34,Coventry,2016/17,19,Coventry,Sep-17,39,Coventry,2017/18,38,Coventry ,2018/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, , , , 
96,Locally committed,Make communities safer,,FALSE,Reported incidents motivated by hatred/prejudice towards a person because of their actual/perceived protected characteristic of religion/belief,number,23,Coventry,2015/16,9,Coventry,Apr-Sep 2016/17,8,Coventry,2016/17,9,Coventry,Sep-17,27,Coventry,2017/18,9,Coventry ,2018/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, , , , 
97,Locally committed,Make communities safer,,FALSE,Reported incidents motivated by hatred/prejudice towards a person because of their actual/perceived protected characteristic of gypsy/traveller,number,<5,Coventry,2015/16,0,Coventry,Apr-Sep 2016/17,0,Coventry,2016/17,0,Coventry,Sep-17,0,Coventry,2017/18,0,Coventry ,2018/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, , , , 
98,Locally committed,Make communities safer,,FALSE,Reported incidents motivated by hatred/prejudice towards a person because of their actual/perceived protected characteristic not stated,number,<5,Coventry,2015/16,0,Coventry,Apr-Sep 2016/18,5,Coventry,2016/18,<5,Coventry,Sep-17,<5,Coventry,2017/18,<5,Coventry ,2018/19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, , , , 
99,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Black African",%,New Indicator,N/A,N/A,N/A,N/A,N/A,48,Coventry,2016,N/A,N/A,N/A,56,Coventry,2017,60.3,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,53,Black African England,2016,N/A,N/A,N/A,61,Black African England,2017,65.8,Black African England,2018,High is good, , , , 
100,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Black Caribbean",%,New Indicator,N/A,N/A,N/A,N/A,N/A,29,Coventry,2016,N/A,N/A,N/A,31,Coventry,2017,34.2,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42,Black Caribbean England,2016,N/A,N/A,N/A,53,Black Caribbean England,2017,55.3,Black Caribbean England,2018,High is good, , , , 
101,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Black Other",%,New Indicator,N/A,N/A,N/A,N/A,N/A,58,Coventry,2016,N/A,N/A,N/A,49,Coventry,2017,67.7,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47,Black Other England,2016,N/A,N/A,N/A,57,Black Other England,2017,61.2,Black Other England,2018,High is good, , , , 
102,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Asian Indian",%,New Indicator,N/A,N/A,N/A,N/A,N/A,57,Coventry,2016,N/A,N/A,N/A,72,Coventry,2017,77.6,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61,Asian Indian England,2016,N/A,N/A,N/A,72,Asian Indian England,2017,76.5,Asian Indian England,2018,High is good, , , , 
103,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Asian Pakistani",%,New Indicator,N/A,N/A,N/A,N/A,N/A,49,Coventry,2016,N/A,N/A,N/A,51,Coventry,2017,64.3,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47,Asian Pakistani England,2016,N/A,N/A,N/A,56,Asian Pakistani England,2017,61.1,Asian Pakistani England,2018,High is good, , , , 
104,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Asian Bangladeshi",%,New Indicator,N/A,N/A,N/A,N/A,N/A,57,Coventry,2016,N/A,N/A,N/A,71,Coventry,2017,70.1,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,54,Asian Bangladeshi England,2016,N/A,N/A,N/A,64,Asian Bangladeshi England,2017,69.0,Asian Bangladeshi England,2018,High is good, , , , 
105,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Asian Chinese",%,New Indicator,N/A,N/A,N/A,N/A,N/A,50,Coventry,2016,N/A,N/A,N/A,91,Coventry,2017,73.3,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,69,Asian Chinese England,2016,N/A,N/A,N/A,77,Asian Chinese England,2017,81.2,Asian Chinese England,2018,High is good, , , , 
106,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for White",%,New Indicator,N/A,N/A,N/A,N/A,N/A,49,Coventry,2016,N/A,N/A,N/A,58,Coventry,2017,60.0,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,54,White England,2016,N/A,N/A,N/A,61,White England,2017,64.5,White England,2018,High is good, , , , 
107,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for White and Black African",%,New Indicator,N/A,N/A,N/A,N/A,N/A,44,Coventry,2016,N/A,N/A,N/A,71,Coventry,2017,63.9,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,54,White and black African England,2016,N/A,N/A,N/A,62,White and black African England,2017,65.3,White and black African England,2018,High is good, , , , 
108,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for White and Black Caribbean",%,New Indicator,N/A,N/A,N/A,N/A,N/A,42,Coventry,2016,N/A,N/A,N/A,46,Coventry,2017,57.5,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47,White and black Caribbean England,2016,N/A,N/A,N/A,54,White and black Caribbean England,2017,56.9,White and black Caribbean England,2018,High is good, , , , 
109,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for White and Asian",%,New Indicator,N/A,N/A,N/A,N/A,N/A,55,Coventry,2016,N/A,N/A,N/A,60,Coventry,2017,62.5,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63,White and Asian England,2016,N/A,N/A,N/A,69,White and Asian England,2017,72.1,White and Asian England,2018,High is good, , , , 
110,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for any other mixed ethnicity",%,New Indicator,N/A,N/A,N/A,N/A,N/A,47,Coventry,2016,N/A,N/A,N/A,60,Coventry,2017,60.3,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,56,Any other mixed England,2016,N/A,N/A,N/A,64,Any other mixed England,2017,67.9,Any other mixed England,2018,High is good, , , , 
111,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Roma/Gypsy",%,New Indicator,N/A,N/A,N/A,N/A,N/A,7,Coventry,2016,N/A,N/A,N/A,11,Coventry,2017,12.8,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13,Roma Gypsy England,2016,N/A,N/A,N/A,16,Roma Gypsy England,2017,17.6,Roma Gypsy England,2018,High is good, , , , 
112,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Irish ",%,New Indicator,N/A,N/A,N/A,N/A,N/A,76,Coventry,2016,N/A,N/A,N/A,73,Coventry,2017,73.3,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60,Irish England,2016,N/A,N/A,N/A,68,Irish England,2017,69.8,Irish England,2018,High is good, , , , 
113,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Traveller of Irish Heritage",%,New Indicator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.3,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.9,Traveller of Irish Heritage England,2018,High is good, , , , 
114,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Transient",%,New Indicator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38.5,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47.0,Transient England,2018,High is good, , , , 
115,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for eligible for pupil premium",%,New Indicator,N/A,N/A,N/A,N/A,N/A,38,Coventry,2016,N/A,N/A,N/A,46,Coventry,2017,49.0,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39,Pupil Premium England,2016,N/A,N/A,N/A,47,Pupil Premium England,2017,50.7,Pupil Premium England,2018,High is good, , , , 
116,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for eligible for White boys pupil premium",%,New Indicator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42,Coventry,2017,46.0,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46.0,White Boys pupil premium England,2018,High is good, , , , 
117,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for looked after children",%,New Indicator,N/A,N/A,N/A,N/A,N/A,33,Coventry,2016,N/A,N/A,N/A,22,Coventry,2017,25.8,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,53,Looked After children England,2016,N/A,N/A,N/A,32,Looked After Children England,2017,35.0,Looked After Children England,2018,High is good, , , , 
118,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for special educational needs",%,New Indicator,N/A,N/A,N/A,N/A,N/A,11,Coventry,2016,N/A,N/A,N/A,16,Coventry,2017,18.6,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14,SEN England,2016,N/A,N/A,N/A,18,SEN England,2017,21.3,SEN England,2018,High is good, , , , 
119,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for boys",%,New Indicator,N/A,N/A,N/A,N/A,N/A,44,Coventry,2016,N/A,N/A,N/A,54,Coventry,2017,58.0,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,Boys England,2016,N/A,N/A,N/A,57,Boys England,2017,60.5,Boys England,2018,High is good, , , , 
120,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for girls",%,New Indicator,N/A,N/A,N/A,N/A,N/A,53,Coventry,2016,N/A,N/A,N/A,62,Coventry,2017,63.2,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,57,Girls England,2016,N/A,N/A,N/A,65,Girls England,2017,68.4,Girls England,2018,High is good, , , , 
121,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Black African ",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-5,Coventry,2016,N/A,N/A,N/A,-5,Coventry,2017,-5.5,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
122,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Black Caribbean",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-13,Coventry,2016,N/A,N/A,N/A,-22,Coventry,2017,-21.1,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
123,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Black Other",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,11,Coventry,2016,N/A,N/A,N/A,-8,Coventry,2017,0.5,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
124,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Asian Indian",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-4,Coventry,2016,N/A,N/A,N/A,0,Coventry,2017,1.1,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
125,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Asian Pakistani",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,2,Coventry,2016,N/A,N/A,N/A,-5,Coventry,2017,3.2,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
126,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Asian Bangladeshi",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,3,Coventry,2016,N/A,N/A,N/A,7,Coventry,2017,1.1,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
127,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Asian Chinese",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-19,Coventry,2016,N/A,N/A,N/A,14,Coventry,2017,-7.9,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
128,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for White",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-5,Coventry,2016,N/A,N/A,N/A,-3,Coventry,2017,-4.5,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
129,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for White and Black African",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-10,Coventry,2016,N/A,N/A,N/A,9,Coventry,2017,-1.4,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
130,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for White and Black Caribbean",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-5,Coventry,2016,N/A,N/A,N/A,-8,Coventry,2017,0.6,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
131,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for White and Asian",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-8,Coventry,2016,N/A,N/A,N/A,-9,Coventry,2017,-9.6,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
132,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Any other mixed ethnicity",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-9,Coventry,2016,N/A,N/A,N/A,-4,Coventry,2017,-7.6,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
133,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Roma/Gypsy",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-6,Coventry,2016,N/A,N/A,N/A,-5,Coventry,2017,-4.8,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
134,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Irish ",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,16,Coventry,2016,N/A,N/A,N/A,5,Coventry,2017,3.5,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
135,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Traveller of Irish Heritage",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.4,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
136,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Transient",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-8.5,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
137,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for eligible for pupil premium",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-1,Coventry,2016,N/A,N/A,N/A,-1,Coventry,2017,-1.7,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
138,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for White Boys Pupil Premium",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1,Coventry,2017,0,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
139,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Looked After Children",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-20,Coventry,2016,N/A,N/A,N/A,-10,Coventry,2017,-9.2,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
140,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for special educational needs",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-3,Coventry,2016,N/A,N/A,N/A,-2,Coventry,2017,-2.7,Coventry ,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good, , , , 
