Sort Order,Council Plan,Priority,Progress,Council Plan Indicator,Indicator,Unit,2015/16 end of year indicator value,2015/16 end of year indicator scope,2015/16 end of year indicator date,2016/17 half year indicator value,2016/17 half year indicator scope,2016/17 half year indicator date,2016/17 end of year indicator value,2016/17 end of year indicator scope,2016/17 end of year indicator date,2017/18 half year indicator value,2017/18 half year indicator scope,2017/18 half year indicator date,2017/18 end of year indicator value,2017/18 end of year indicator scope,2017/18 end of year indicator date,2016/17 half year indicator comparator indicator value,2016/17 half year indicator comparator indicator scope,2016/17 half year indicator comparator indicator date,2016/17 end of year indicator comparator indicator value,2016/17 end of year indicator comparator indicator scope,2016/17 end of year indicator comparator indicator date,2017/18 half year indicator comparator indicator value,2017/18 half year indicator comparator indicator scope,2017/18 half year indicator comparator indicator date,2017/18 end of year indicator comparator indicator value,2017/18 end of year indicator comparator indicator scope,2017/18 end of year indicator comparator indicator date,2016/17 half year indicator national indicator value,2016/17 half year indicator national indicator scope,2016/17 half year indicator national indicator date,2016/17 end of year indicator national indicator value,2016/17 end of year indicator national indicator scope,2016/17 end of year indicator national indicator date,2017/18 half year indicator national indicator value,2017/18 half year indicator national indicator scope,2017/18 half year indicator national indicator date,2017/18 end of year indicator national indicator value,2017/18 end of year indicator national indicator scope,2017/18 end of year indicator national indicator date,Directionality,Progress,Target,Target Status,LGInformPlus Metric ID,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Asian Bangladeshi",%,New Indicator,N/A,N/A,N/A,N/A,N/A,57,Coventry,2016,N/A,N/A,N/A,71,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,54,Asian Bangladeshi England,2016,N/A,N/A,N/A,64,Asian Bangladeshi England,2017,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Asian Chinese",%,New Indicator,N/A,N/A,N/A,N/A,N/A,50,Coventry,2016,N/A,N/A,N/A,91,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,69,Asian Chinese England,2016,N/A,N/A,N/A,77,Asian Chinese England,2017,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for White",%,New Indicator,N/A,N/A,N/A,N/A,N/A,49,Coventry,2016,N/A,N/A,N/A,58,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,54,White England,2016,N/A,N/A,N/A,61,White England,2017,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for White and Black African",%,New Indicator,N/A,N/A,N/A,N/A,N/A,44,Coventry,2016,N/A,N/A,N/A,71,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,54,White and black African England,2016,N/A,N/A,N/A,62,White and black African England,2017,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for White and Black Caribbean",%,New Indicator,N/A,N/A,N/A,N/A,N/A,42,Coventry,2016,N/A,N/A,N/A,46,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47,White and black Caribbean England,2016,N/A,N/A,N/A,54,White and black Caribbean England,2017,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for White and Asian",%,New Indicator,N/A,N/A,N/A,N/A,N/A,55,Coventry,2016,N/A,N/A,N/A,60,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63,White and Asian England,2016,N/A,N/A,N/A,69,White and Asian England,2017,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for any other mixed ethnicity",%,New Indicator,N/A,N/A,N/A,N/A,N/A,47,Coventry,2016,N/A,N/A,N/A,60,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,56,Any other mixed England,2016,N/A,N/A,N/A,64,Any other mixed England,2017,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Roma/Gypsy",%,New Indicator,N/A,N/A,N/A,N/A,N/A,7,Coventry,2016,N/A,N/A,N/A,11,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13,Roma Gypsy England,2016,N/A,N/A,N/A,16,Roma Gypsy England,2017,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for Irish traveller",%,New Indicator,N/A,N/A,N/A,N/A,N/A,76,Coventry,2016,N/A,N/A,N/A,73,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60,Irish England,2016,N/A,N/A,N/A,68,Irish England,2017,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for eligible for pupil premium",%,New Indicator,N/A,N/A,N/A,N/A,N/A,38,Coventry,2016,N/A,N/A,N/A,46,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39,Pupil Premium England,2016,N/A,N/A,N/A,47,Pupil Premium England,2017,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for looked after children",%,New Indicator,N/A,N/A,N/A,N/A,N/A,33,Coventry,2016,N/A,N/A,N/A,23,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,53,Looked After children England,2016,N/A,N/A,N/A,32,Looked After Children England,2017,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for special educational needs",%,New Indicator,N/A,N/A,N/A,N/A,N/A,11,Coventry,2016,N/A,N/A,N/A,16,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14,SEN England,2016,N/A,N/A,N/A,18,SEN England,2017,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for boys",%,New Indicator,N/A,N/A,N/A,N/A,N/A,44,Coventry,2016,N/A,N/A,N/A,54,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,Boys England,2016,N/A,N/A,N/A,57,Boys England,2017,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (results) for girls",%,New Indicator,N/A,N/A,N/A,N/A,N/A,53,Coventry,2016,N/A,N/A,N/A,62,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,57,Girls England,2016,N/A,N/A,N/A,65,Girls England,2017,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Black African ",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-5,Coventry,2016,N/A,N/A,N/A,-5,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Black Caribbean",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-13,Coventry,2016,N/A,N/A,N/A,-22,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Black Other",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,11,Coventry,2016,N/A,N/A,N/A,-8,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Asian Indian",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-4,Coventry,2016,N/A,N/A,N/A,0,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Asian Pakistani",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,2,Coventry,2016,N/A,N/A,N/A,-5,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Asian Bangladeshi",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,3,Coventry,2016,N/A,N/A,N/A,7,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Asian Chinese",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-19,Coventry,2016,N/A,N/A,N/A,14,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for White",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-5,Coventry,2016,N/A,N/A,N/A,-3,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for White and Black African",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-10,Coventry,2016,N/A,N/A,N/A,9,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for White and Black Caribbean",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-5,Coventry,2016,N/A,N/A,N/A,-8,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for White and Asian",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-8,Coventry,2016,N/A,N/A,N/A,-9,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Any other mixed ethnicity",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-9,Coventry,2016,N/A,N/A,N/A,-4,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Roma/Gyspy",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-6,Coventry,2016,N/A,N/A,N/A,-5,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for Irish traveller",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,16,Coventry,2016,N/A,N/A,N/A,5,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for eligible for pupil premium",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-1,Coventry,2016,N/A,N/A,N/A,-1,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for looked after children",% difference,,N/A,N/A,N/A,N/A,N/A,-20,Coventry,2016,N/A,N/A,N/A,-9,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for special educational needs",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-3,Coventry,2016,N/A,N/A,N/A,-2,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for boys",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-6,Coventry,2016,N/A,N/A,N/A,-3,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,"Key stage 2: expected standard in reading, writing & maths (difference with same group national comparator) for girls",% difference,New Indicator,N/A,N/A,N/A,N/A,N/A,-4,Coventry,2016,N/A,N/A,N/A,-3,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for Black African,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,48,Coventry,2016,N/A,N/A,N/A,45,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,Black African England,2016,N/A,N/A,N/A,47,Black African England,2017,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for Black Caribbean,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,43,Coventry,2016,N/A,N/A,N/A,40,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45,Black Caribbean England,2016,N/A,N/A,N/A,40,Black Caribbean England,2017,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for Black Other,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,53,Coventry,2016,N/A,N/A,N/A,40,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47,Black Other England,2016,N/A,N/A,N/A,43,Black Other England,2017,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for Asian Indian,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,55,Coventry,2016,N/A,N/A,N/A,53,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,57,Asian Indian England,2016,N/A,N/A,N/A,55,Asian Indian England,2017,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for Asian Pakistani,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,49,Coventry,2016,N/A,N/A,N/A,42,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,Asian Pakistani England,2016,N/A,N/A,N/A,45,Asian Pakistani England,2017,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for Asian Bangladeshi,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,55,Coventry,2016,N/A,N/A,N/A,50,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,58,Asian Bangladeshi England,2016,N/A,N/A,N/A,50,Asian Bangladeshi England,2017,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for Asian Chinese,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,59,Coventry,2016,N/A,N/A,N/A,70,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62,Asian Chinese England,2016,N/A,N/A,N/A,63,Asian Chinese England,2017,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for White,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,47,Coventry,2016,N/A,N/A,N/A,41,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,White England,2016,N/A,N/A,N/A,46,White England,2017,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for White and Black African,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,45,Coventry,2016,N/A,N/A,N/A,46,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,White and black African England,2016,N/A,N/A,N/A,47,White and black African England,2017,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for White and Black Caribbean,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,42,Coventry,2016,N/A,N/A,N/A,35,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46,White and black Caribbean England,2016,N/A,N/A,N/A,41,White and black Caribbean England,2017,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for White and Asian,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,46,Coventry,2016,N/A,N/A,N/A,42,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,54,White and Asian England,2016,N/A,N/A,N/A,52,White and Asian England,2017,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for Any other mixed ethnicity,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,49,Coventry,2016,N/A,N/A,N/A,46,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52,Any other mixed England,2016,N/A,N/A,N/A,49,Any other mixed England,2017,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for Gypsy/Roma,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,20,Coventry,2016,N/A,N/A,N/A,20,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,Roma Gypsy England,2016,N/A,N/A,N/A,17,Roma Gypsy England,2017,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for transient communities,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,42,Coventry,2016,N/A,N/A,N/A,34,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36,Transient England,2016,N/A,N/A,N/A,32,Transient England,2017,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for eligible for pupil premium,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,40,Coventry,2016,N/A,N/A,N/A,35,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41,Pupil Premium England,2016,N/A,N/A,N/A,37,Pupil Premium England,2017,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for white boys eligible for pupil premium,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,34,Coventry,2016,N/A,N/A,N/A,27,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36,White Boys Pupil Premium England,2016,N/A,N/A,N/A,32,White Boys Pupil Premium England,2017,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for special educational needs,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,30,Coventry,2016,N/A,N/A,N/A,23,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31,SEN England,2016,N/A,N/A,N/A,27,SEN England,2017,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for looked after children ,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18,LAC England,2017,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for boys,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,45,Coventry,2016,N/A,N/A,N/A,40,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,48,Boys England,2016,N/A,N/A,N/A,43,Boys England,2017,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locally committed,Improving educational outcomes,,FALSE,Key stage 4: achieving attainment 8 for girls,average score,New Indicator,N/A,N/A,N/A,N/A,N/A,51,Coventry,2016,N/A,N/A,N/A,46,Coventry,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52,Girls England,2016,N/A,N/A,N/A,49,Girls England,2017,High is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
